숲길명,장소명,위도,경도
서울둘레길 1코스,철길 숲길,37.621677,127.086807
서울둘레길 1코스,쉼터,37.631145,127.088898
서울둘레길 1코스,쉼터,37.638023,127.090317
서울둘레길 1코스,쉼터,37.644157,127.091118
서울둘레길 1코스,쉼터,37.645065,127.090622
서울둘레길 1코스,쉼터,37.646481,127.088745
서울둘레길 1코스,쉼터,37.648682,127.088242
서울둘레길 1코스,쉼터,37.650505,127.087524
서울둘레길 1코스,낙석주의 구간,37.651081,127.086624
서울둘레길 1코스,쉼터,37.653904,127.083771
서울둘레길 1코스,쉼터,37.654972,127.083031
서울둘레길 1코스,쉼터,37.659229,127.082497
서울둘레길 1코스,쉼터,37.661484,127.082184
서울둘레길 1코스,쉼터,37.661938,127.081619
서울둘레길 1코스,쉼터,37.662651,127.081741
서울둘레길 1코스,쉼터,37.663212,127.081673
서울둘레길 1코스,도암샘 약수터,37.664585,127.081398
서울둘레길 1코스,쉼터,37.664902,127.081505
서울둘레길 1코스,여성 안심 화장실,37.66695,127.083527
서울둘레길 1코스,둘레길 단풍,37.666996,127.083542
서울둘레길 1코스,쉼터,37.667316,127.08326
서울둘레길 1코스,쉼터,37.669613,127.084465
서울둘레길 1코스,등산안내도,37.682842,127.057838
서울둘레길 1코스,공릉해링턴플레이스,37.628075,127.085136
서울둘레길 1코스,여근석쉼터,37.650917,127.086853
서울둘레길 1코스,당고개역,37.670345,127.079773
서울둘레길 1코스,서울둘레길 2코스 스탬프 승인장소,37.620441,127.085068
서울둘레길 1코스,팥배나무,37.659847,127.082741
서울둘레길 1코스,쉼터,37.650875,127.086723
서울둘레길 1코스,여성안전 특별치안활동 위치정보,37.686546,127.058929
서울둘레길 1코스,위험지역 출입금지,37.683388,127.058517
서울둘레길 1코스,돌담집,37.682789,127.058517
서울둘레길 1코스,여성안전 특별치안활동 위치번호,37.681831,127.058533
서울둘레길 2코스,망우공원 주차장,37.598846,127.114082
서울둘레길 2코스,전동 휠체어 급속 충전기,37.584034,127.106262
서울둘레길 2코스,철길 숲길 산책로,37.621193,127.085655
서울둘레길 2코스,쉼터,37.560196,127.101517
서울둘레길 2코스,갈림길,37.558346,127.102295
서울둘레길 2코스,화랑대역,37.620346,127.083893
서울둘레길 2코스,갈림길,37.55426,127.101212
서울둘레길 2코스,갈림길,37.620522,127.083847
서울둘레길 2코스,아차산 화장실,37.554134,127.101204
서울둘레길 2코스,아차산 정상,37.566311,127.102715
서울둘레길 2코스,화랑대역2번출구,37.620174,127.083481
서울둘레길 2코스,근린시설,37.620655,127.083961
서울둘레길 2코스,갈림길,37.559093,127.102417
서울둘레길 2코스,갈림길,37.558739,127.102676
서울둘레길 2코스,갈림길,37.55801,127.103729
서울둘레길 2코스,갈림길,37.554352,127.101311
서울둘레길 2코스,갈림길,37.553986,127.101074
서울둘레길 2코스,갈림길,37.552807,127.101158
서울둘레길 2코스,아차산 입구 (광나루역 방면),37.55249,127.099815
서울둘레길 2코스,아차산 팔각정,37.557304,127.102119
서울둘레길 2코스,아차산 해맞이 광장,37.559849,127.101463
서울둘레길 2코스,조망점,37.56216,127.101562
서울둘레길 2코스,나무데크쉼터,37.559097,127.10244
서울둘레길 2코스,갈림길,37.605217,127.111649
서울둘레길 2코스,갈림길,37.604935,127.111839
서울둘레길 2코스,갈림길,37.572071,127.103348
서울둘레길 2코스,갈림길,37.573322,127.100967
서울둘레길 2코스,갈림길,37.619968,127.088165
서울둘레길 2코스,갈림길,37.616985,127.094101
서울둘레길 2코스,갈림길,37.615593,127.096077
서울둘레길 2코스,갈림길,37.61557,127.095917
서울둘레길 2코스,갈림길,37.571613,127.104271
서울둘레길 2코스,갈림길,37.584213,127.106415
서울둘레길 2코스,갈림길,37.58289,127.103821
서울둘레길 2코스,갈림길,37.581944,127.10302
서울둘레길 2코스,갈림길,37.579529,127.103104
서울둘레길 2코스,갈림길,37.578911,127.10318
서울둘레길 2코스,갈림길,37.573368,127.100792
서울둘레길 2코스,갈림길,37.572144,127.103134
서울둘레길 2코스,갈림길,37.571499,127.103912
서울둘레길 2코스,갈림길,37.564541,127.102386
서울둘레길 2코스,갈림길,37.559338,127.101578
서울둘레길 2코스,갈림길,37.557957,127.101868
서울둘레길 2코스,아차산등산로입구,37.552776,127.099518
서울둘레길 2코스,완숙골 약수터,37.553108,127.099815
서울둘레길 2코스,완숙골 약수터,37.553204,127.100456
서울둘레길 2코스,정자 공터,37.553143,127.100456
서울둘레길 2코스,농구장,37.552639,127.100433
서울둘레길 2코스,화장실,37.552097,127.10025
서울둘레길 2코스,생태연못 옆,37.551315,127.100594
서울둘레길 2코스,생태연못,37.551334,127.101242
서울둘레길 2코스,사각정자,37.552338,127.100853
서울둘레길 2코스,수목급수용,37.552242,127.101028
서울둘레길 2코스,길옆 벤치,37.553223,127.101349
서울둘레길 2코스,약수터,37.555424,127.101692
서울둘레길 2코스,상록체육회,37.555531,127.102051
서울둘레길 2코스,정자,37.556961,127.103035
서울둘레길 2코스,공터,37.5569,127.103195
서울둘레길 2코스,벤치,37.558483,127.10321
서울둘레길 2코스,고구려정 근처,37.558338,127.102318
서울둘레길 2코스,고구려정,37.558086,127.102135
서울둘레길 2코스,벤치,37.555805,127.102173
서울둘레길 2코스,나무데크공연장,37.554428,127.101196
서울둘레길 2코스,화장실,37.552258,127.100273
서울둘레길 2코스,작은 봉우리 위,37.557156,127.104385
서울둘레길 2코스,고구려정,37.558197,127.102203
서울둘레길 2코스,공터,37.557953,127.101959
서울둘레길 2코스,나무데크 전망대,37.559818,127.101448
서울둘레길 2코스,길옆 바위 위,37.560223,127.10144
서울둘레길 2코스,나무데크 전망대,37.56044,127.101395
서울둘레길 2코스,쉼터,37.550777,127.101021
서울둘레길 2코스,화장실,37.552299,127.100403
서울둘레길 2코스,아차산 공원 관리 사무소,37.553085,127.0998
서울둘레길 2코스,약수터,37.553318,127.100334
서울둘레길 2코스,화장실,37.554356,127.101021
서울둘레길 2코스,둘레길 단풍,37.555588,127.101906
서울둘레길 2코스,쉼터,37.555649,127.102173
서울둘레길 2코스,쉼터,37.557987,127.103836
서울둘레길 2코스,쉼터,37.559101,127.102386
서울둘레길 2코스,아차산에서 바라본 한강,37.560402,127.101501
서울둘레길 2코스,아차산 1보루,37.561279,127.101303
서울둘레길 2코스,쉼터,37.562119,127.101547
서울둘레길 2코스,아차산 보루,37.56575,127.102539
서울둘레길 2코스,아차산 정상에서 바라본 전망,37.566456,127.102745
서울둘레길 2코스,보루 쉼터,37.570351,127.103722
서울둘레길 2코스,정상부근 넓은공터,37.566544,127.102676
서울둘레길 2코스,아차산정상,37.566891,127.102646
서울둘레길 2코스,벤치,37.567764,127.102959
서울둘레길 2코스,벤치,37.568771,127.103203
서울둘레길 2코스,벤치,37.571503,127.102669
서울둘레길 2코스,광나루역 3번출구,37.544754,127.104202
서울둘레길 2코스,광나루역,37.545341,127.104294
서울둘레길 2코스,추이각,37.547436,127.102234
서울둘레길 2코스,다야,37.547707,127.102028
서울둘레길 2코스,어울림(여수집),37.548431,127.101929
서울둘레길 2코스,너븐나루,37.548649,127.101898
서울둘레길 2코스,아차산 습지원,37.551567,127.100716
서울둘레길 2코스,서울둘레길 인증 장소,37.553108,127.099823
서울둘레길 2코스,쉼터,37.600151,127.113197
서울둘레길 2코스,쉼터,37.605385,127.109764
서울둘레길 2코스,중랑 캠핑숲,37.605846,127.109612
서울둘레길 2코스,쉼터,37.574413,127.101135
서울둘레길 2코스,응급 구조함,37.575939,127.101105
서울둘레길 2코스,갈림길,37.557873,127.103966
서울둘레길 2코스,깔딱고개에서 바라본 한강,37.57774,127.102303
서울둘레길 2코스,깔딱고개 쉼터,37.578732,127.103012
서울둘레길 2코스,서울둘레길 2코스 깔딱고개 인증장소,37.578773,127.103035
서울둘레길 2코스,쉼터,37.579163,127.103249
서울둘레길 2코스,쉼터,37.580414,127.102699
서울둘레길 2코스,쉼터,37.584236,127.106094
서울둘레길 2코스,화장실,37.554325,127.101212
서울둘레길 2코스,서울둘레길 우회안내,37.618603,127.091316
서울둘레길 2코스,갈림길,37.584923,127.107048
서울둘레길 2코스,갈림길,37.587994,127.106766
서울둘레길 2코스,갈림길,37.588978,127.1073
서울둘레길 2코스,갈림길,37.592651,127.109421
서울둘레길 2코스,갈림길,37.594036,127.11026
서울둘레길 2코스,갈림길,37.595234,127.110855
서울둘레길 2코스,갈림길,37.597466,127.114693
서울둘레길 2코스,갈림길,37.597851,127.11499
서울둘레길 2코스,갈림길,37.605419,127.111465
서울둘레길 2코스,갈림길,37.615074,127.095917
서울둘레길 2코스,용마산 5보루,37.575928,127.101135
서울둘레길 2코스,광장동 체육공원,37.545967,127.105476
서울둘레길 2코스,망우 공원 화장실,37.598404,127.114471
서울둘레길 2코스,쉼터,37.61388,127.099045
서울둘레길 2코스,구급함,37.584072,127.106308
서울둘레길 2코스,참나무 숲 쉼터,37.603752,127.112534
서울둘레길 2코스,중랑 캠핑숲 산책로,37.605362,127.110054
서울둘레길 2코스,아차산 공원 관리사무소,37.55323,127.099861
서울둘레길 2코스,아차산생태공원,37.55093,127.100975
서울둘레길 2코스,갈림길 근처 벤치,37.557987,127.10376
서울둘레길 2코스,고구려정 근처 벤치 운동기구,37.558315,127.102371
서울둘레길 2코스,아차산 자투리 텃밭,37.549828,127.101097
서울둘레길 2코스,쉼터,37.550331,127.101181
서울둘레길 2코스,정자,37.55444,127.101372
서울둘레길 2코스,쉼터,37.57048,127.103874
서울둘레길 2코스,아차산 4보루 전경,37.570885,127.103981
서울둘레길 2코스,응급 구조함,37.572033,127.103378
서울둘레길 2코스,구급함,37.573406,127.100769
서울둘레길 2코스,벤치,37.564423,127.102333
서울둘레길 2코스,나무데크 전망대,37.564968,127.102257
서울둘레길 2코스,아차산1보루 위,37.560978,127.101196
서울둘레길 2코스,아차산1보루,37.561283,127.101341
서울둘레길 2코스,길가에 벤치들,37.561867,127.10144
서울둘레길 2코스,아차산5보루,37.562668,127.101891
서울둘레길 2코스,"공티, 벤치",37.563255,127.101761
서울둘레길 2코스,나무데크 전망대,37.563873,127.101929
서울둘레길 2코스,갈림길 26,37.620476,127.083878
서울둘레길 2코스,커피베리 더 테라스,37.554962,127.101379
서울둘레길 2코스,아차산 인공폭포,37.555122,127.101112
서울둘레길 2코스,벤치,37.555027,127.100517
서울둘레길 2코스,등산로입구,37.552711,127.09964
서울둘레길 2코스,등산로입구,37.552395,127.099838
서울둘레길 3코스,쉼터,37.529434,127.153221
서울둘레길 2코스,갈림길,37.553291,127.101074
서울둘레길 2코스,갈림길,37.555264,127.10157
서울둘레길 2코스,갈림길,37.55764,127.103691
서울둘레길 2코스,갈림길,37.55801,127.10379
서울둘레길 2코스,갈림길,37.558731,127.102638
